use,countrie,region,period,cat,orga,urltype,objname,url
0,international,,,,owid,direct,urlcovint,https://covid.ourworldindata.org/data/owid-covid-data.csv
1,fr,nat,,tabindic,SPF,stable,urlcovtabindicfr,https://www.data.gouv.fr/fr/datasets/r/f335f9ea-86e3-4ffa-9684-93
1,fr,dep,,tabindic,SPF,stable,urlcovtabindicdep,https://www.data.gouv.fr/fr/datasets/r/5c4e1452-3850-4b59-b11c-3
1,fr,dep,,donneeshospit,SPF,stable,urlcovdatashospdepsex,https://www.data.gouv.fr/fr/datasets/r/63352e38-d353-4b54-bf
1,fr,nat,quot,donneeshospit,SPF,stable,urlcovdatashospquot,https://www.data.gouv.fr/fr/datasets/r/6fadff46-9efd-4c53-942a
1,fr,nat,,tauxincid,SPF,stable,urlcovtinat,https://www.data.gouv.fr/fr/datasets/r/57d44bd6-c9fd-424f-9a72-7834454
1,fr,dep,,tauxincid,SPF,stable,urlcovtidep,https://www.data.gouv.fr/fr/datasets/r/19a91d64-3cd3-42fc-9943-d635491
0,fr,nat,,vaccin,SPF,stable,urlcovvac12fr,https://www.data.gouv.fr/fr/datasets/r/fa4ad329-14ec-4394-85a4-c5df3
0,fr,,,vaccin,SPF,stable,urlcovvacfr,https://www.data.gouv.fr/fr/datasets/r/efe23314-67c4-45d3-89a2-3faef82
0,fr,,,vaccin,SPF,stable,urlcovvacafr,https://www.data.gouv.fr/fr/datasets/r/54dd5f8d-1e2e-4ccb-8fb8-eac682
0,fr,,,vaccin,SPF,stable,urlcovvacsfr,https://www.data.gouv.fr/fr/datasets/r/349ca785-cf12-4f4d-9a0a-846d53
0,fr,,,vaccin,SPF,stable,urlcovvactotfr,https://www.data.gouv.fr/fr/datasets/r/131c6b39-51b5-40a7-beaa-0eaf
0,fr,,,vaccin,SPF,stable,urlcovvactotafr,https://www.data.gouv.fr/fr/datasets/r/dc103057-d933-4e4b-bdbf-36d
0,fr,,,vaccin,SPF,stable,urlcovvactotsfr,https://www.data.gouv.fr/fr/datasets/r/e49fec64-0080-4592-bdab-d19
0,fr,,,vaccin,SPF,stable,urlcovvacvfr,https://www.data.gouv.fr/fr/datasets/r/b273cf3b-e9de-437c-af55-eda597
1,fr,metro,,,SPF,stable,urlcovsgmetro,https://www.data.gouv.fr/fr/datasets/r/61533034-0f2f-4b16-9a6d-28ffabb3
1,fr,nat,,testsviro,SPF,stable,urlcovtestsnat,https://www.data.gouv.fr/fr/datasets/r/dd0de5d9-b5a5-4503-930a-7b08
0,fr,dep,,testsviro,SPF,stable,urlcovtestsdep,https://www.data.gouv.fr/fr/datasets/r/406c6a23-e283-4300-9484-54e7
